,airplane_pred,bird_pred,car_pred,cat_pred,deer_pred,dog_pred,horse_pred,monkey_pred,ship_pred,truck_pred
airplane_true,350,16,19,3,19,5,3,2,73,10
bird_true,25,188,14,55,82,36,22,61,11,6
car_true,27,10,299,14,15,5,7,9,64,50
cat_true,7,69,12,130,127,34,20,67,15,19
deer_true,12,47,8,33,292,25,48,21,11,3
dog_true,10,59,1,54,95,79,87,112,2,1
horse_true,6,23,4,15,114,28,238,60,6,6
monkey_true,5,56,4,47,82,42,56,202,4,2
ship_true,46,8,19,6,7,1,3,2,374,34
truck_true,40,24,99,21,20,4,7,9,124,152
